Age.band,Age_low,Age_high,CFR,Country,Weighted_Age
0-9,0,9,0,China,4.54105562
10-19,10,19,0.2,China,14.4711759
20-29,20,29,0.2,China,24.6462463
30-39,30,39,0.2,China,34.1870224
40-49,40,49,0.4,China,44.7725843
50-59,50,59,1.3,China,54.2220245
60-69,60,69,3.6,China,64.4445423
70-79,70,79,8,China,73.8564147
80+,80,89,14.8,China,84.6084307
0-9,0,9,0,Italy,4.67297665
10-19,10,19,0,Italy,14.5081687
20-29,20,29,0,Italy,24.5894676
30-39,30,39,0.3,Italy,34.5955249
40-49,40,49,0.4,Italy,44.6784626
50-59,50,59,1,Italy,54.4348555
60-69,60,69,3.5,Italy,64.358958
70-79,70,79,12.5,Italy,74.1870544
80-89,80,89,19.7,Italy,83.8883671
90+,90,99,22.7,Italy,93.2007926
